id_replic,sentiment_old,sentiment,check,html_text,text,text_len
1639,fear,fear,1,"Пора, <i>— озабоченно и чуть не с испугом поднялся вдруг Ипполит, в замешательстве смотря кругом; — </i>я вас задержал; я хотел вам всё сказать... я думал, что все... в последний раз... это была фантазия...","Пора, я вас задержал; я хотел вам всё сказать... я думал, что все... в последний раз... это была фантазия...",19
29,guilt,sadness,1,"Извините, мне что-то душно стало, <i>— сказал он. — </i>Я выйду.","Извините, мне что-то душно стало, Я выйду.",7
6362,neutral,neutral,1,"Разумеется, законным браком.","Разумеется, законным браком.",3
104,joy,joy,1,"Ах, мамаша, какой он душка! <i>— сочувственно восклицает Клеопатра, немедленно по удалении Ивана Павлыча.</i>","Ах, мамаша, какой он душка! ",5
1574,disgust,disgust,1,"Ишь, олух, бродит! словно во сне веревки вьет! Кажется, так бы взяла да щеткой тебя, да щеткой...","Ишь, олух, бродит! словно во сне веревки вьет! Кажется, так бы взяла да щеткой тебя, да щеткой...",17
49,disgust,disgust,1,"Дурак ты сам-то разборчатый, и больше ничего, <i>— проговорила Платонида Андревна. — </i>Мало тебя, дурака, и без того за меня колотят, так ты, видно, хочешь, чтоб еще больше тебя брат с отцом колотили. Ну, и поколотят.","Дурак ты сам-то разборчатый, и больше ничего, Мало тебя, дурака, и без того за меня колотят, так ты, видно, хочешь, чтоб еще больше тебя брат с отцом колотили. Ну, и поколотят.",31
859,neutral,neutral,1,"Только это, брат, совсем не то... тут будет что-то чистое, возвышенное, так сказать, любовь лаконическая...","Только это, брат, совсем не то... тут будет что-то чистое, возвышенное, так сказать, любовь лаконическая...",15
153,neutral,neutral,1,Сегодня. <i>— Лаврецкий присел на низкое стульце. — </i>Я уже с Марьей Дмитриевной простился. Я и Лизавету Михайловну видел.,Сегодня. Я уже с Марьей Дмитриевной простился. Я и Лизавету Михайловну видел.,12
175,guilt,sadness,1,"Помилуйте, Paul должен извиниться перед вами.","Помилуйте, Paul должен извиниться перед вами.",6
2289,disgust,disgust,1,Он точно сумасшедший.,Он точно сумасшедший.,3
47,anger,anger,1,"Не вертись, вертушка, а то уколю булавкой.","Не вертись, вертушка, а то уколю булавкой.",7
761,neutral,neutral,1,"Я вас подлецом теперь уже никогда не буду считать, <i>— сказал князь. — </i>Давеча я вас уже совсем за злодея почитал, и вдруг вы меня так обрадовали, — вот и урок: не судить, не имея опыта. Теперь я вижу, что вас не только за злодея, но и за слишком испорченного человека считать нельзя. Вы, по-моему, просто самый обыкновенный человек, какой только может быть, разве только что слабый очень и нисколько не оригинальный.","Я вас подлецом теперь уже никогда не буду считать, Давеча я вас уже совсем за злодея почитал, и вдруг вы меня так обрадовали, — вот и урок: не судить, не имея опыта. Теперь я вижу, что вас не только за злодея, но и за слишком испорченного человека считать нельзя. Вы, по-моему, просто самый обыкновенный человек, какой только может быть, разве только что слабый очень и нисколько не оригинальный.",68
19,disgust,disgust,1,Отстань! <i>— сказал он и пошел дальше. </i>,Отстань! ,1
190,anger,anger,1,И никому овладеть ее сердцем не позволю! <i>— отвечал капитан.</i>,И никому овладеть ее сердцем не позволю! ,7
1074,surprise: neutral,surprise,1,"Но вы так недавно еще огорчались, сердились на Липутина?","Но вы так недавно еще огорчались, сердились на Липутина?",9
3437,fear,fear,1,"Погиб! <i>— машинально, шепотом сказал он. — </i>Что ж я скажу Ольге?",Погиб! Что ж я скажу Ольге?,6
44,neutral,neutral,1,А есть в этом доме жильцы?,А есть в этом доме жильцы?,6
173,joy,joy,1,Пармен Семеныч будет здесь! <i>— воскликнул городничий.</i>,Пармен Семеныч будет здесь! ,4
122,neutral,neutral,1,"Я вас не понимаю, <i>— заметил я.</i>","Я вас не понимаю, ",4
4433,neutral,neutral,1,"Марк Волохов. Ведь это все равно здесь, в этом промозглом углу, что Пугачев или Стенька Разин.","Марк Волохов. Ведь это все равно здесь, в этом промозглом углу, что Пугачев или Стенька Разин.",16
814,sadness,sadness,1,"Что мне говорить! <i>— отвечала Марьяна. Обе девки побежали. Оленин пошел один, вспоминая все, что было. Он целый вечер провел с ней вдвоем в углу, около печки. Устенька ни на минуту не выходила из хаты и возилась с другими девками и Белецким. Оленин шепотом говорил с Марьянкой.</i>",Что мне говорить! ,3
1230,neutral,neutral,1,"Зачем гордиться? <i>— примолвил дядя, — </i>это не нужно!",Зачем гордиться? это не нужно!,5
370,anger,anger,1,Вот увидите! <i>— и до времени умолкал.</i>,Вот увидите! ,2
475,anger,anger,1,"Мы, вашество, не понимаем друг друга; я о содействии не прошу! <i>— холодно сказал он и уселся за лото.</i>","Мы, вашество, не понимаем друг друга; я о содействии не прошу! ",11
6366,neutral,neutral,1,"Так же счастливы, как и ваши, <i>— отвечала она и, по-видимому, была совершенно спокойна.</i>","Так же счастливы, как и ваши, ",6
1652,neutral,neutral,1,"Хорошо исправление в острогах, <i>— вставил Нехлюдов.</i>","Хорошо исправление в острогах, ",4
754,sadness,sadness,1,Все неладно.,Все неладно.,2
283,sadness,sadness,1,"Ах, нет, что сегодня, про то не сказал. Да я всю неделю так боюсь. Хоть бы проиграть, я бы помолилась, только бы с плеч долой, да опять по-прежнему.","Ах, нет, что сегодня, про то не сказал. Да я всю неделю так боюсь. Хоть бы проиграть, я бы помолилась, только бы с плеч долой, да опять по-прежнему.",28
191,neutral,neutral,1,"Кажется, у себя наверху. Рассудительная сия лисичка в такую погоду всегда в свою норку прячется.","Кажется, у себя наверху. Рассудительная сия лисичка в такую погоду всегда в свою норку прячется.",15
2044,neutral,neutral,1,"Нет. Да мы еще посмотрим, хорошо ли это, что они там будут, оттуда мешаться, с высоты своего величия. Там Туганов теперь в Петербурге будет, — пойдут вступничества, да заступничества... Нет; это звон велик. Дайте лучше это письмо мне. — <i>И Термосёсов взял письмо себе, но по дороге домой обронил его перед училищем </i>.","Нет. Да мы еще посмотрим, хорошо ли это, что они там будут, оттуда мешаться, с высоты своего величия. Там Туганов теперь в Петербурге будет, — пойдут вступничества, да заступничества... Нет; это звон велик. Дайте лучше это письмо мне. — .",40
2098,disgust,disgust,1,"Если не умеете говорить, то молчите, <i>— хлопнула студентка.</i>","Если не умеете говорить, то молчите, ",6
291,surprise: neutral,surprise,1,А-а! мать... Так это здесь была твоя мать?,А-а! мать... Так это здесь была твоя мать?,8
1779,fear,fear,1,"Ах, боже мой! <i>— сказала Аграфена Петровна, подошедшая ближе к ним.</i>","Ах, боже мой! ",3
16,surprise: negative,surprise,1,"Невероятно, Сашенька! <i>— сказал он. — </i>Извини, но... хо-хо-хо... тридцать тысяч! За эти деньги два дома построить можно...","Невероятно, Сашенька! Извини, но... хо-хо-хо... тридцать тысяч! За эти деньги два дома построить можно...",14
1204,surprise: negative,surprise,1,Но позвольте... Как же трактовать об этом письменно? Ведь это такого рода дело... Души ведь некоторым образом... мертвые.,Но позвольте... Как же трактовать об этом письменно? Ведь это такого рода дело... Души ведь некоторым образом... мертвые.,18
5046,neutral,neutral,1,Над чем работаете?,Над чем работаете?,3
2764,neutral,neutral,1,"Нет, о пожаре не пишут, а сказано только, что «его величество посетил народное собрание».","Нет, о пожаре не пишут, а сказано только, что «его величество посетил народное собрание».",14
942,anger,anger,1,Уж сделай ты для меня милость: придержи язык за зубами! Теперь ведь многие около славян-то прохаживаются! Скажешь слово не по шерсти — разорвут!,Уж сделай ты для меня милость: придержи язык за зубами! Теперь ведь многие около славян-то прохаживаются! Скажешь слово не по шерсти — разорвут!,23
