id_replic,replic,html_text,sentiment
0,"Пора, я вас задержал; я хотел вам всё сказать... я думал, что все... в последний раз... это была фантазия...","Пора, <i>— озабоченно и чуть не с испугом поднялся вдруг Ипполит, в замешательстве смотря кругом; — </i>я вас задержал; я хотел вам всё сказать... я думал, что все... в последний раз... это была фантазия...",fear
1,"Извините, мне что-то душно стало, Я выйду.","Извините, мне что-то душно стало, <i>— сказал он. — </i>Я выйду.",sadness
2,"Разумеется, законным браком.","Разумеется, законным браком.",neutral
3,"Ах, мамаша, какой он душка! ","Ах, мамаша, какой он душка! <i>— сочувственно восклицает Клеопатра, немедленно по удалении Ивана Павлыча.</i>",joy
4,"Ишь, олух, бродит! словно во сне веревки вьет! Кажется, так бы взяла да щеткой тебя, да щеткой...","Ишь, олух, бродит! словно во сне веревки вьет! Кажется, так бы взяла да щеткой тебя, да щеткой...",disgust
5,"Дурак ты сам-то разборчатый, и больше ничего, Мало тебя, дурака, и без того за меня колотят, так ты, видно, хочешь, чтоб еще больше тебя брат с отцом колотили. Ну, и поколотят.","Дурак ты сам-то разборчатый, и больше ничего, <i>— проговорила Платонида Андревна. — </i>Мало тебя, дурака, и без того за меня колотят, так ты, видно, хочешь, чтоб еще больше тебя брат с отцом колотили. Ну, и поколотят.",disgust
6,"Только это, брат, совсем не то... тут будет что-то чистое, возвышенное, так сказать, любовь лаконическая...","Только это, брат, совсем не то... тут будет что-то чистое, возвышенное, так сказать, любовь лаконическая...",neutral
7,Сегодня. Я уже с Марьей Дмитриевной простился. Я и Лизавету Михайловну видел.,Сегодня. <i>— Лаврецкий присел на низкое стульце. — </i>Я уже с Марьей Дмитриевной простился. Я и Лизавету Михайловну видел.,neutral
8,"Помилуйте, Paul должен извиниться перед вами.","Помилуйте, Paul должен извиниться перед вами.",sadness
9,Он точно сумасшедший.,Он точно сумасшедший.,disgust
10,"Не вертись, вертушка, а то уколю булавкой.","Не вертись, вертушка, а то уколю булавкой.",anger
11,"Я вас подлецом теперь уже никогда не буду считать, Давеча я вас уже совсем за злодея почитал, и вдруг вы меня так обрадовали, — вот и урок: не судить, не имея опыта. Теперь я вижу, что вас не только за злодея, но и за слишком испорченного человека считать нельзя. Вы, по-моему, просто самый обыкновенный человек, какой только может быть, разве только что слабый очень и нисколько не оригинальный.","Я вас подлецом теперь уже никогда не буду считать, <i>— сказал князь. — </i>Давеча я вас уже совсем за злодея почитал, и вдруг вы меня так обрадовали, — вот и урок: не судить, не имея опыта. Теперь я вижу, что вас не только за злодея, но и за слишком испорченного человека считать нельзя. Вы, по-моему, просто самый обыкновенный человек, какой только может быть, разве только что слабый очень и нисколько не оригинальный.",neutral
12,Отстань! ,Отстань! <i>— сказал он и пошел дальше. </i>,disgust
13,И никому овладеть ее сердцем не позволю! ,И никому овладеть ее сердцем не позволю! <i>— отвечал капитан.</i>,anger
14,"Но вы так недавно еще огорчались, сердились на Липутина?","Но вы так недавно еще огорчались, сердились на Липутина?",surprise
15,Погиб! Что ж я скажу Ольге?,"Погиб! <i>— машинально, шепотом сказал он. — </i>Что ж я скажу Ольге?",fear
16,А есть в этом доме жильцы?,А есть в этом доме жильцы?,neutral
17,Пармен Семеныч будет здесь! ,Пармен Семеныч будет здесь! <i>— воскликнул городничий.</i>,joy
18,"Я вас не понимаю, ","Я вас не понимаю, <i>— заметил я.</i>",neutral
19,"Марк Волохов. Ведь это все равно здесь, в этом промозглом углу, что Пугачев или Стенька Разин.","Марк Волохов. Ведь это все равно здесь, в этом промозглом углу, что Пугачев или Стенька Разин.",neutral
20,Что мне говорить! ,"Что мне говорить! <i>— отвечала Марьяна. Обе девки побежали. Оленин пошел один, вспоминая все, что было. Он целый вечер провел с ней вдвоем в углу, около печки. Устенька ни на минуту не выходила из хаты и возилась с другими девками и Белецким. Оленин шепотом говорил с Марьянкой.</i>",sadness
21,Зачем гордиться? это не нужно!,"Зачем гордиться? <i>— примолвил дядя, — </i>это не нужно!",neutral
22,Вот увидите! ,Вот увидите! <i>— и до времени умолкал.</i>,anger
23,"Мы, вашество, не понимаем друг друга; я о содействии не прошу! ","Мы, вашество, не понимаем друг друга; я о содействии не прошу! <i>— холодно сказал он и уселся за лото.</i>",anger
24,"Так же счастливы, как и ваши, ","Так же счастливы, как и ваши, <i>— отвечала она и, по-видимому, была совершенно спокойна.</i>",neutral
25,"Хорошо исправление в острогах, ","Хорошо исправление в острогах, <i>— вставил Нехлюдов.</i>",neutral
26,Все неладно.,Все неладно.,sadness
27,"Ах, нет, что сегодня, про то не сказал. Да я всю неделю так боюсь. Хоть бы проиграть, я бы помолилась, только бы с плеч долой, да опять по-прежнему.","Ах, нет, что сегодня, про то не сказал. Да я всю неделю так боюсь. Хоть бы проиграть, я бы помолилась, только бы с плеч долой, да опять по-прежнему.",sadness
28,"Кажется, у себя наверху. Рассудительная сия лисичка в такую погоду всегда в свою норку прячется.","Кажется, у себя наверху. Рассудительная сия лисичка в такую погоду всегда в свою норку прячется.",neutral
29,"Нет. Да мы еще посмотрим, хорошо ли это, что они там будут, оттуда мешаться, с высоты своего величия. Там Туганов теперь в Петербурге будет, — пойдут вступничества, да заступничества... Нет; это звон велик. Дайте лучше это письмо мне. — .","Нет. Да мы еще посмотрим, хорошо ли это, что они там будут, оттуда мешаться, с высоты своего величия. Там Туганов теперь в Петербурге будет, — пойдут вступничества, да заступничества... Нет; это звон велик. Дайте лучше это письмо мне. — <i>И Термосёсов взял письмо себе, но по дороге домой обронил его перед училищем </i>.",neutral
30,"Если не умеете говорить, то молчите, ","Если не умеете говорить, то молчите, <i>— хлопнула студентка.</i>",disgust
31,А-а! мать... Так это здесь была твоя мать?,А-а! мать... Так это здесь была твоя мать?,surprise
32,"Ах, боже мой! ","Ах, боже мой! <i>— сказала Аграфена Петровна, подошедшая ближе к ним.</i>",fear
33,"Невероятно, Сашенька! Извини, но... хо-хо-хо... тридцать тысяч! За эти деньги два дома построить можно...","Невероятно, Сашенька! <i>— сказал он. — </i>Извини, но... хо-хо-хо... тридцать тысяч! За эти деньги два дома построить можно...",surprise
34,Но позвольте... Как же трактовать об этом письменно? Ведь это такого рода дело... Души ведь некоторым образом... мертвые.,Но позвольте... Как же трактовать об этом письменно? Ведь это такого рода дело... Души ведь некоторым образом... мертвые.,surprise
35,Над чем работаете?,Над чем работаете?,neutral
36,"Нет, о пожаре не пишут, а сказано только, что «его величество посетил народное собрание».","Нет, о пожаре не пишут, а сказано только, что «его величество посетил народное собрание».",neutral
37,Уж сделай ты для меня милость: придержи язык за зубами! Теперь ведь многие около славян-то прохаживаются! Скажешь слово не по шерсти — разорвут!,Уж сделай ты для меня милость: придержи язык за зубами! Теперь ведь многие около славян-то прохаживаются! Скажешь слово не по шерсти — разорвут!,anger
38,"Нынче у меня Зейфер был: он рассказывал, что перешли вчера на пятый бастион.","Нынче у меня Зейфер был: он рассказывал, что перешли вчера на пятый бастион.",neutral
39,"Ну, так ты решительно хочешь, чтоб я уехал?","Ну, так ты решительно хочешь, чтоб я уехал?",neutral
